,url,stars,date,spot,ville,region
0,https://www.surf-report.com/meteo-surf/meteo-surf/poez-theolen-cleden-cap-sizun-s1150.html,13,Lundi 4 Octobre,Poez Théolen,Cleden Cap Sizun,Bretagne
1,https://www.surf-report.com/meteo-surf/meteo-surf/les-roches-blanches-douarnenez-s1149.html,13,Lundi 4 Octobre,Les Roches Blanches,Douarnenez,Bretagne
2,https://www.surf-report.com/meteo-surf/meteo-surf/boutrouilles-kerlouan-s1139.html,12,Lundi 4 Octobre,Boutrouilles,Kerlouan,Bretagne
3,https://www.surf-report.com/meteo-surf/meteo-surf/penfoul-s1141.html,11,Lundi 4 Octobre,Penfoul,Landunvez,Bretagne
4,https://www.surf-report.com/meteo-surf/meteo-surf/locquirec-s1102.html,13,Lundi 4 Octobre,No spot name,Locquirec,Bretagne
5,https://www.surf-report.com/meteo-surf/meteo-surf/plage-sillon-s1135.html,12,Lundi 4 Octobre,Plage Du Sillon,St Malo,Bretagne
6,https://www.surf-report.com/meteo-surf/meteo-surf/le-dossen-s1101.html,12,Lundi 4 Octobre,Le Dossen,Santec,Bretagne
7,https://www.surf-report.com/meteo-surf/meteo-surf/la-mauvaise-greve-s1138.html,12,Lundi 4 Octobre,La Mauvaise Grève,Sibiril,Bretagne
8,https://www.surf-report.com/meteo-surf/meteo-surf/chassiron-s1014.html,11,Samedi 2 Octobre,Chassiron,St Denis D'oleron,charente-maritime
9,https://www.surf-report.com/meteo-surf/meteo-surf/cap-ferret-s1010.html,12,Samedi 2 Octobre,No spot name,Cap Ferret,Gironde
10,https://www.surf-report.com/meteo-surf/meteo-surf/le-grand-crohot-s1045.html,12,Samedi 2 Octobre,Le Grand Crohot,Cap Ferret,Gironde
11,https://www.surf-report.com/meteo-surf/meteo-surf/le-truc-vert-s45.html,14,Samedi 2 Octobre,Le Truc Vert,Cap Ferret,Gironde
12,https://www.surf-report.com/meteo-surf/meteo-surf/la-salie-s1185.html,12,Samedi 2 Octobre,La Salie,La Teste De Buch,Gironde
13,https://www.surf-report.com/meteo-surf/meteo-surf/lacanau-s1043.html,11,Samedi 2 Octobre,No spot name,Lacanau,Gironde
14,https://www.surf-report.com/meteo-surf/meteo-surf/la-jenny-s1184.html,12,Samedi 2 Octobre,La Jenny,Le Porge,Gironde
15,https://www.surf-report.com/meteo-surf/meteo-surf/le-porge-s1049.html,12,Samedi 2 Octobre,No spot name,Le Porge,Gironde
16,https://www.surf-report.com/meteo-surf/meteo-surf/le-verdon-mer-s1052.html,12,Samedi 2 Octobre,No spot name,Le Verdon/mer,Gironde
17,https://www.surf-report.com/meteo-surf/meteo-surf/soulac-s1080.html,12,Samedi 2 Octobre,No spot name,Soulac,Gironde
18,https://www.surf-report.com/meteo-surf/meteo-surf/biscarrosse-s1000.html,12,Samedi 2 Octobre,No spot name,Biscarrosse,Landes
19,https://www.surf-report.com/meteo-surf/meteo-surf/capbreton-s1011.html,13,Samedi 2 Octobre,No spot name,Capbreton,Landes
20,https://www.surf-report.com/meteo-surf/meteo-surf/la-centrale-capbreton-s1194.html,14,Samedi 2 Octobre,La Centrale,Capbreton,Landes
21,https://www.surf-report.com/meteo-surf/meteo-surf/la-piste-capbreton-s1196.html,14,Samedi 2 Octobre,La Piste,Capbreton,Landes
22,https://www.surf-report.com/meteo-surf/meteo-surf/la-pointe-capbreton-s1198.html,14,Samedi 2 Octobre,La Pointe,Capbreton,Landes
23,https://www.surf-report.com/meteo-surf/meteo-surf/le-prevent-capbreton-s1195.html,14,Samedi 2 Octobre,Le Prévent,Capbreton,Landes
24,https://www.surf-report.com/meteo-surf/meteo-surf/santocha-capbreton-s1099.html,14,Samedi 2 Octobre,Santocha,Capbreton,Landes
25,https://www.surf-report.com/meteo-surf/meteo-surf/vvf-capbreton-s1197.html,14,Samedi 2 Octobre,VVF,Capbreton,Landes
26,https://www.surf-report.com/meteo-surf/meteo-surf/hossegor-centrale-s1192.html,14,Samedi 2 Octobre,La Centrale,Hossegor,Landes
27,https://www.surf-report.com/meteo-surf/meteo-surf/la-graviere-hossegor-s1191.html,14,Samedi 2 Octobre,La Gravière,Hossegor,Landes
28,https://www.surf-report.com/meteo-surf/meteo-surf/la-nord-hossegor-s68.html,13,Samedi 2 Octobre,La Nord,Hossegor,Landes
